,TractFIPS,City
195,24510080200.0,Baltimore
196,24510090100.0,Baltimore
197,24510120201.0,Baltimore
198,24510272005.0,Baltimore
199,24510090600.0,Baltimore
200,24510120202.0,Baltimore
201,24510272006.0,Baltimore
202,24510280500.0,Baltimore
203,24510260301.0,Baltimore
204,24510260203.0,Baltimore
205,24510260202.0,Baltimore
206,24510260302.0,Baltimore
207,24510260401.0,Baltimore
208,24510090400.0,Baltimore
209,24510272004.0,Baltimore
210,24510260605.0,Baltimore
211,24510200800.0,Baltimore
212,24510270600.0,Baltimore
213,24510190300.0,Baltimore
214,24510200400.0,Baltimore
215,24510200200.0,Baltimore
216,24510270803.0,Baltimore
217,24510270805.0,Baltimore
218,24510270804.0,Baltimore
219,24510270901.0,Baltimore
220,24510270902.0,Baltimore
221,24510200300.0,Baltimore
222,24510190100.0,Baltimore
223,24510200701.0,Baltimore
224,24510200500.0,Baltimore
225,24510200600.0,Baltimore
226,24510271001.0,Baltimore
227,24510271002.0,Baltimore
228,24510271101.0,Baltimore
229,24510270903.0,Baltimore
230,24510080101.0,Baltimore
231,24510180300.0,Baltimore
232,24510200100.0,Baltimore
233,24510190200.0,Baltimore
234,24510170200.0,Baltimore
235,24510270502.0,Baltimore
236,24510270402.0,Baltimore
237,24510270401.0,Baltimore
238,24510160400.0,Baltimore
239,24510151200.0,Baltimore
240,24510151300.0,Baltimore
241,24510160700.0,Baltimore
242,24510160801.0,Baltimore
243,24510160802.0,Baltimore
244,24510270703.0,Baltimore
245,24510270702.0,Baltimore
246,24510270801.0,Baltimore
247,24510271501.0,Baltimore
248,24510271400.0,Baltimore
249,24510270802.0,Baltimore
250,24510130100.0,Baltimore
251,24510120700.0,Baltimore
252,24510170300.0,Baltimore
253,24510170100.0,Baltimore
254,24510270302.0,Baltimore
255,24510080102.0,Baltimore
256,24510250101.0,Baltimore
257,24510260102.0,Baltimore
258,24510130700.0,Baltimore
259,24510130400.0,Baltimore
260,24510130804.0,Baltimore
261,24510130805.0,Baltimore
262,24510250205.0,Baltimore
263,24510080301.0,Baltimore
264,24510120400.0,Baltimore
265,24510150100.0,Baltimore
266,24510130600.0,Baltimore
267,24510090900.0,Baltimore
268,24510010200.0,Baltimore
269,24510271801.0,Baltimore
270,24510150900.0,Baltimore
271,24510060200.0,Baltimore
272,24510261000.0,Baltimore
273,24510200702.0,Baltimore
274,24510260700.0,Baltimore
275,24510010500.0,Baltimore
276,24510270701.0,Baltimore
277,24510020100.0,Baltimore
278,24510130803.0,Baltimore
279,24510160100.0,Baltimore
280,24510240300.0,Baltimore
281,24510250102.0,Baltimore
282,24510250203.0,Baltimore
283,24510271200.0,Baltimore
284,24510250204.0,Baltimore
285,24510250103.0,Baltimore
286,24510280301.0,Baltimore
287,24510060300.0,Baltimore
288,24510130200.0,Baltimore
289,24510260800.0,Baltimore
290,24510080800.0,Baltimore
291,24510260900.0,Baltimore
292,24510160200.0,Baltimore
293,24510230200.0,Baltimore
294,24510130300.0,Baltimore
295,24510100100.0,Baltimore
296,24510270501.0,Baltimore
297,24510180100.0,Baltimore
298,24510060100.0,Baltimore
299,24510020200.0,Baltimore
300,24510010100.0,Baltimore
301,24510030100.0,Baltimore
302,24510280200.0,Baltimore
303,24510250303.0,Baltimore
304,24510250402.0,Baltimore
305,24510280102.0,Baltimore
306,24510250401.0,Baltimore
307,24510250301.0,Baltimore
308,24510280101.0,Baltimore
309,24510280302.0,Baltimore
310,24510250206.0,Baltimore
311,24510070100.0,Baltimore
312,24510060400.0,Baltimore
313,24510070200.0,Baltimore
314,24510030200.0,Baltimore
315,24510040100.0,Baltimore
316,24510260101.0,Baltimore
317,24510280404.0,Baltimore
318,24510260201.0,Baltimore
319,24510280403.0,Baltimore
320,24510070400.0,Baltimore
321,24510250207.0,Baltimore
322,24510151100.0,Baltimore
323,24510151000.0,Baltimore
324,24510020300.0,Baltimore
325,24510010300.0,Baltimore
326,24510260604.0,Baltimore
